"Año","Mes","Región","Inflación mensual general"
"2006","2006/12/01 00:00:00","AMBATO","-0,00245636"
"2006","2006/12/01 00:00:00","COSTA ","-0,00139816"
"2006","2006/12/01 00:00:00","CUENCA","0,00032195"
"2006","2006/12/01 00:00:00","ESMERALDAS","-0,0001247"
"2006","2006/12/01 00:00:00","GUAYAQUIL ","-0,00421538"
"2006","2006/12/01 00:00:00","LOJA","-0,00079355"
"2006","2006/12/01 00:00:00","MACHALA ","0,00365974"
"2006","2006/12/01 00:00:00","MANTA ","0,00373923"
"2006","2006/12/01 00:00:00","NACIONAL","-0,00031817"
"2006","2006/12/01 00:00:00","QUITO ","0,00213195"
"2006","2006/12/01 00:00:00","SIERRA","0,00059446"
"2007","2007/01/01 00:00:00","AMBATO","0,00350374"
"2007","2007/01/01 00:00:00","COSTA ","0,00481718"
"2007","2007/01/01 00:00:00","CUENCA","0,00203924"
"2007","2007/01/01 00:00:00","ESMERALDAS","0,00155027"
"2007","2007/01/01 00:00:00","GUAYAQUIL ","0,00587647"
"2007","2007/01/01 00:00:00","LOJA","0,000373"
"2007","2007/01/01 00:00:00","MACHALA ","0,00538222"
"2007","2007/01/01 00:00:00","MANTA ","0,00497597"
"2007","2007/01/01 00:00:00","NACIONAL","0,00296885"
"2007","2007/01/01 00:00:00","QUITO ","0,00096307"
"2007","2007/01/01 00:00:00","SIERRA","0,00141007"
"2007","2007/02/01 00:00:00","AMBATO","0,00432072"
"2007","2007/02/01 00:00:00","COSTA ","0,00195874"
"2007","2007/02/01 00:00:00","CUENCA","0,00280475"
"2007","2007/02/01 00:00:00","ESMERALDAS","0,00372762"
"2007","2007/02/01 00:00:00","GUAYAQUIL ","0,0024732"
"2007","2007/02/01 00:00:00","LOJA","-0,00036547"
"2007","2007/02/01 00:00:00","MACHALA ","0,00310996"
"2007","2007/02/01 00:00:00","MANTA ","-0,00151688"
"2007","2007/02/01 00:00:00","NACIONAL","0,00067568"
"2007","2007/02/01 00:00:00","QUITO ","-0,00253319"
"2007","2007/02/01 00:00:00","SIERRA","-0,00041007"
"2007","2007/03/01 00:00:00","AMBATO","-0,00521818"
"2007","2007/03/01 00:00:00","COSTA ","0,00272159"
"2007","2007/03/01 00:00:00","CUENCA","0,00168134"
"2007","2007/03/01 00:00:00","ESMERALDAS","0,01155176"
"2007","2007/03/01 00:00:00","GUAYAQUIL ","0,00003152"
"2007","2007/03/01 00:00:00","LOJA","0,00015706"
"2007","2007/03/01 00:00:00","MACHALA ","0,00059853"
"2007","2007/03/01 00:00:00","MANTA ","0,00200532"
"2007","2007/03/01 00:00:00","NACIONAL","0,00095845"
"2007","2007/03/01 00:00:00","QUITO ","0,00042845"
"2007","2007/03/01 00:00:00","SIERRA","-0,00053707"
"2007","2007/04/01 00:00:00","AMBATO","-0,00170147"
"2007","2007/04/01 00:00:00","COSTA ","0,00022975"
"2007","2007/04/01 00:00:00","CUENCA","-0,0023845"
"2007","2007/04/01 00:00:00","ESMERALDAS","-0,00573226"
"2007","2007/04/01 00:00:00","GUAYAQUIL ","0,00055323"
"2007","2007/04/01 00:00:00","LOJA","0,00240497"
"2007","2007/04/01 00:00:00","MACHALA ","-0,00111451"
"2007","2007/04/01 00:00:00","MANTA ","0,00566775"
"2007","2007/04/01 00:00:00","NACIONAL","-0,00009482"
"2007","2007/04/01 00:00:00","QUITO ","-0,00053779"
"2007","2007/04/01 00:00:00","SIERRA","-0,00037102"
"2007","2007/05/01 00:00:00","AMBATO","-0,0011282"
"2007","2007/05/01 00:00:00","COSTA ","0,00132221"
"2007","2007/05/01 00:00:00","CUENCA","0,001394"
"2007","2007/05/01 00:00:00","ESMERALDAS","0,00710968"
"2007","2007/05/01 00:00:00","GUAYAQUIL ","0,00129368"
"2007","2007/05/01 00:00:00","LOJA","-0,00220175"
"2007","2007/05/01 00:00:00","MACHALA ","0,00427866"
"2007","2007/05/01 00:00:00","MANTA ","-0,00513269"
"2007","2007/05/01 00:00:00","NACIONAL","0,0003013"
"2007","2007/05/01 00:00:00","QUITO ","-0,00014896"
"2007","2007/05/01 00:00:00","SIERRA","-0,000568"
"2007","2007/06/01 00:00:00","AMBATO","0,00751785"
"2007","2007/06/01 00:00:00","COSTA ","0,0027308"
"2007","2007/06/01 00:00:00","CUENCA","0,00395844"
"2007","2007/06/01 00:00:00","ESMERALDAS","0,00263273"
"2007","2007/06/01 00:00:00","GUAYAQUIL ","0,00114166"
"2007","2007/06/01 00:00:00","LOJA","0,00586968"
"2007","2007/06/01 00:00:00","MACHALA ","0,0031742"
"2007","2007/06/01 00:00:00","MANTA ","0,00709057"
"2007","2007/06/01 00:00:00","NACIONAL","0,00387507"
"2007","2007/06/01 00:00:00","QUITO ","0,00376471"
"2007","2007/06/01 00:00:00","SIERRA","0,00485125"
"2007","2007/07/01 00:00:00","AMBATO","0,00840679"
"2007","2007/07/01 00:00:00","COSTA ","0,00231489"
"2007","2007/07/01 00:00:00","CUENCA","0,00421615"
"2007","2007/07/01 00:00:00","ESMERALDAS","0,00008935"
"2007","2007/07/01 00:00:00","GUAYAQUIL ","0,00116785"
"2007","2007/07/01 00:00:00","LOJA","0,00534215"
"2007","2007/07/01 00:00:00","MACHALA ","0,00159416"
"2007","2007/07/01 00:00:00","MANTA ","0,00787712"
"2007","2007/07/01 00:00:00","NACIONAL","0,00418038"
"2007","2007/07/01 00:00:00","QUITO ","0,00529074"
"2007","2007/07/01 00:00:00","SIERRA","0,00576848"
"2007","2007/08/01 00:00:00","AMBATO","0,00177644"
"2007","2007/08/01 00:00:00","COSTA ","-0,00300351"
"2007","2007/08/01 00:00:00","CUENCA","0,00337566"
"2007","2007/08/01 00:00:00","ESMERALDAS","0,00152462"
"2007","2007/08/01 00:00:00","GUAYAQUIL ","-0,00325588"
"2007","2007/08/01 00:00:00","LOJA","0,00319877"
"2007","2007/08/01 00:00:00","MACHALA ","-0,00062947"
"2007","2007/08/01 00:00:00","MANTA ","-0,0074438"
"2007","2007/08/01 00:00:00","NACIONAL","0,00072948"
"2007","2007/08/01 00:00:00","QUITO ","0,00493212"
"2007","2007/08/01 00:00:00","SIERRA","0,00389649"
"2007","2007/09/01 00:00:00","AMBATO","0,00766535"
"2007","2007/09/01 00:00:00","COSTA ","0,005039"
"2007","2007/09/01 00:00:00","CUENCA","0,00976698"
"2007","2007/09/01 00:00:00","ESMERALDAS","0,00441236"
"2007","2007/09/01 00:00:00","GUAYAQUIL ","0,00675177"
"2007","2007/09/01 00:00:00","LOJA","0,0126046"
"2007","2007/09/01 00:00:00","MACHALA ","0,00333557"
"2007","2007/09/01 00:00:00","MANTA ","0,00145029"
"2007","2007/09/01 00:00:00","NACIONAL","0,00710148"
"2007","2007/09/01 00:00:00","QUITO ","0,00779314"
"2007","2007/09/01 00:00:00","SIERRA","0,00883923"
"2007","2007/10/01 00:00:00","AMBATO","0,00170009"
"2007","2007/10/01 00:00:00","COSTA ","0,00219372"
"2007","2007/10/01 00:00:00","CUENCA","0,00439068"
"2007","2007/10/01 00:00:00","ESMERALDAS","0,00275516"
"2007","2007/10/01 00:00:00","GUAYAQUIL ","0,00225556"
"2007","2007/10/01 00:00:00","LOJA","-0,00091966"
"2007","2007/10/01 00:00:00","MACHALA ","0,00259833"
"2007","2007/10/01 00:00:00","MANTA ","0,00134968"
"2007","2007/10/01 00:00:00","NACIONAL","0,00134716"
"2007","2007/10/01 00:00:00","QUITO ","0,00019046"
"2007","2007/10/01 00:00:00","SIERRA","0,00063658"
"2007","2007/11/01 00:00:00","AMBATO","0,00549319"
"2007","2007/11/01 00:00:00","COSTA ","0,00596836"
"2007","2007/11/01 00:00:00","CUENCA","0,00551733"
"2007","2007/11/01 00:00:00","ESMERALDAS","0,00796639"
"2007","2007/11/01 00:00:00","GUAYAQUIL ","0,00295322"
"2007","2007/11/01 00:00:00","LOJA","0,00337338"
"2007","2007/11/01 00:00:00","MACHALA ","0,00691932"
"2007","2007/11/01 00:00:00","MANTA ","0,01200572"
"2007","2007/11/01 00:00:00","NACIONAL","0,00497476"
"2007","2007/11/01 00:00:00","QUITO ","0,00371869"
"2007","2007/11/01 00:00:00","SIERRA","0,00413946"
"2007","2007/12/01 00:00:00","AMBATO","-0,00231255"
"2007","2007/12/01 00:00:00","COSTA ","0,00533423"
"2007","2007/12/01 00:00:00","CUENCA","0,0046075"
"2007","2007/12/01 00:00:00","ESMERALDAS","0,0028209"
"2007","2007/12/01 00:00:00","GUAYAQUIL ","0,00588946"
"2007","2007/12/01 00:00:00","LOJA","0,00851935"
"2007","2007/12/01 00:00:00","MACHALA ","0,00910081"
"2007","2007/12/01 00:00:00","MANTA ","0,00527817"
"2007","2007/12/01 00:00:00","NACIONAL","0,00571637"
"2007","2007/12/01 00:00:00","QUITO ","0,00822765"
"2007","2007/12/01 00:00:00","SIERRA","0,0060382"
"2008","2008/01/01 00:00:00","AMBATO","0,0129192"
"2008","2008/01/01 00:00:00","COSTA ","0,01237035"
"2008","2008/01/01 00:00:00","CUENCA","0,00749823"
"2008","2008/01/01 00:00:00","ESMERALDAS","0,01511317"
"2008","2008/01/01 00:00:00","GUAYAQUIL ","0,0114484"
"2008","2008/01/01 00:00:00","LOJA","0,01117865"
"2008","2008/01/01 00:00:00","MACHALA ","0,00798637"
"2008","2008/01/01 00:00:00","MANTA ","0,01338275"
"2008","2008/01/01 00:00:00","NACIONAL","0,01142126"
"2008","2008/01/01 00:00:00","QUITO ","0,01019094"
